epoch	train.loss	train.mjpeg_acc	train.raw_acc	val.mjpeg_acc	val.psnr	val.ssim
1	1.388	0.505	0.505	0.515	42.486	0.987
2	1.385	0.516	0.514	0.52	42.255	0.986
3	1.383	0.521	0.519	0.538	42.388	0.986
4	1.374	0.541	0.538	0.543	42.274	0.986
5	1.37	0.542	0.542	0.547	42.264	0.985
6	1.366	0.548	0.547	0.548	42.133	0.985
7	1.361	0.553	0.552	0.557	42.228	0.984
8	1.353	0.566	0.565	0.56	42.19	0.983
9	1.345	0.573	0.572	0.566	42.206	0.983
10	1.34	0.575	0.574	0.569	42.202	0.983
11	1.333	0.582	0.58	0.572	42.205	0.983
12	1.326	0.586	0.584	0.579	42.239	0.983
13	1.321	0.587	0.585	0.577	42.232	0.982
14	1.314	0.592	0.593	0.585	42.26	0.982
15	1.308	0.599	0.598	0.595	42.278	0.982
16	1.302	0.604	0.605	0.596	42.306	0.98
17	1.299	0.606	0.606	0.603	42.324	0.98
18	1.293	0.61	0.61	0.599	42.37	0.979
19	1.288	0.612	0.614	0.607	42.343	0.979
20	1.284	0.618	0.618	0.611	42.361	0.978
21	1.279	0.621	0.62	0.613	42.342	0.978
22	1.275	0.623	0.624	0.622	42.369	0.978
23	1.267	0.628	0.629	0.618	42.356	0.978
24	1.262	0.63	0.631	0.623	42.353	0.977
25	1.262	0.629	0.63	0.625	42.347	0.977
26	1.253	0.637	0.638	0.624	42.353	0.977
27	1.251	0.639	0.639	0.632	42.379	0.977
28	1.239	0.645	0.646	0.626	42.344	0.977
29	1.236	0.646	0.647	0.631	42.375	0.976
30	1.234	0.649	0.65	0.638	42.362	0.976
31	1.227	0.652	0.653	0.639	42.37	0.976
32	1.223	0.652	0.655	0.643	42.388	0.976
33	1.218	0.654	0.655	0.643	42.376	0.975
34	1.215	0.657	0.657	0.646	42.392	0.974
35	1.205	0.66	0.663	0.648	42.4	0.974
36	1.206	0.66	0.66	0.649	42.375	0.974
37	1.198	0.663	0.665	0.648	42.406	0.973
38	1.199	0.662	0.663	0.653	42.413	0.973
39	1.193	0.662	0.664	0.651	42.417	0.972
40	1.19	0.663	0.664	0.65	42.439	0.971
41	1.187	0.663	0.665	0.655	42.435	0.971
42	1.185	0.662	0.664	0.655	42.456	0.969
43	1.18	0.665	0.666	0.647	42.44	0.969
44	1.181	0.664	0.667	0.659	42.471	0.969
45	1.17	0.669	0.671	0.657	42.472	0.969
46	1.17	0.667	0.669	0.655	42.485	0.968
47	1.168	0.667	0.67	0.659	42.467	0.966
48	1.16	0.672	0.675	0.66	42.49	0.967
49	1.155	0.674	0.678	0.662	42.494	0.965
50	1.15	0.679	0.683	0.657	42.498	0.964
51	1.143	0.68	0.684	0.673	42.484	0.964
52	1.136	0.683	0.689	0.676	42.508	0.964
53	1.13	0.685	0.693	0.677	42.52	0.963
54	1.125	0.687	0.694	0.677	42.569	0.961
55	1.119	0.69	0.696	0.673	42.525	0.962
56	1.116	0.69	0.698	0.674	42.548	0.961
57	1.11	0.693	0.702	0.68	42.571	0.961
58	1.105	0.694	0.704	0.683	42.594	0.96
59	1.099	0.697	0.706	0.687	42.598	0.959
60	1.09	0.7	0.711	0.685	42.596	0.96
61	1.091	0.7	0.713	0.684	42.589	0.959
62	1.084	0.701	0.712	0.68	42.617	0.958
63	1.073	0.705	0.718	0.692	42.616	0.957
64	1.068	0.706	0.72	0.689	42.615	0.957
65	1.064	0.709	0.723	0.687	42.61	0.957
66	1.063	0.708	0.721	0.691	42.634	0.955
67	1.059	0.708	0.723	0.694	42.623	0.956
68	1.058	0.709	0.725	0.69	42.636	0.956
69	1.051	0.712	0.727	0.689	42.621	0.955
70	1.046	0.713	0.729	0.685	42.63	0.955
71	1.043	0.713	0.729	0.685	42.659	0.953
72	1.041	0.713	0.732	0.691	42.657	0.955
73	1.036	0.715	0.733	0.686	42.643	0.953
74	1.037	0.713	0.73	0.691	42.635	0.954
75	1.031	0.717	0.736	0.692	42.621	0.954
76	1.026	0.718	0.737	0.695	42.658	0.952
77	1.022	0.717	0.737	0.695	42.646	0.953
78	1.017	0.721	0.741	0.696	42.637	0.952
79	1.014	0.724	0.745	0.686	42.657	0.951
80	1.011	0.724	0.745	0.691	42.654	0.952
81	1.007	0.726	0.747	0.695	42.664	0.951
82	1.003	0.726	0.747	0.701	42.665	0.952
83	0.999	0.729	0.75	0.697	42.662	0.952
84	0.992	0.729	0.753	0.698	42.657	0.95
85	0.993	0.73	0.755	0.714	42.683	0.95
86	0.986	0.732	0.758	0.704	42.672	0.949
87	0.98	0.735	0.76	0.696	42.668	0.951
88	0.979	0.734	0.76	0.707	42.678	0.95
89	0.975	0.737	0.765	0.707	42.669	0.95
90	0.974	0.736	0.763	0.701	42.672	0.948
91	0.966	0.738	0.767	0.714	42.681	0.948
92	0.962	0.74	0.768	0.709	42.675	0.947
93	0.959	0.742	0.772	0.709	42.675	0.949
94	0.956	0.742	0.772	0.715	42.662	0.947
95	0.948	0.746	0.777	0.715	42.67	0.949
96	0.953	0.743	0.773	0.692	42.665	0.947
97	0.954	0.743	0.773	0.72	42.669	0.947
98	0.937	0.748	0.781	0.718	42.689	0.946
99	0.942	0.745	0.778	0.719	42.68	0.947
100	0.931	0.75	0.78	0.709	42.679	0.946
101	0.926	0.752	0.786	0.699	42.694	0.944
102	0.925	0.751	0.785	0.723	42.679	0.946
103	0.926	0.75	0.786	0.717	42.674	0.945
104	0.917	0.753	0.791	0.719	42.691	0.946
105	0.916	0.754	0.792	0.715	42.688	0.945
106	0.912	0.755	0.794	0.713	42.682	0.944
107	0.906	0.753	0.794	0.722	42.681	0.943
108	0.909	0.755	0.793	0.715	42.675	0.944
109	0.905	0.756	0.795	0.723	42.701	0.943
110	0.899	0.757	0.799	0.724	42.689	0.944
111	0.895	0.761	0.8	0.721	42.72	0.943
112	0.889	0.761	0.802	0.715	42.668	0.942
113	0.891	0.759	0.801	0.725	42.684	0.942
114	0.889	0.759	0.802	0.718	42.677	0.941
115	0.886	0.76	0.806	0.724	42.693	0.941
116	0.882	0.76	0.807	0.723	42.675	0.941
117	0.881	0.76	0.807	0.72	42.688	0.941
118	0.87	0.763	0.813	0.723	42.671	0.941
119	0.876	0.762	0.81	0.713	42.686	0.94
120	0.872	0.762	0.812	0.711	42.657	0.94
121	0.867	0.764	0.815	0.723	42.693	0.94
122	0.863	0.766	0.815	0.713	42.664	0.94
123	0.861	0.765	0.816	0.712	42.671	0.939
124	0.857	0.766	0.819	0.724	42.66	0.94
125	0.859	0.764	0.818	0.71	42.671	0.939
126	0.86	0.764	0.818	0.724	42.658	0.938
127	0.855	0.763	0.818	0.725	42.679	0.938
128	0.848	0.768	0.822	0.726	42.69	0.939
129	0.85	0.766	0.824	0.729	42.67	0.939
130	0.849	0.765	0.822	0.72	42.668	0.938
131	0.846	0.767	0.825	0.711	42.648	0.937
132	0.838	0.771	0.83	0.717	42.668	0.938
133	0.838	0.768	0.828	0.718	42.674	0.938
134	0.842	0.766	0.828	0.729	42.664	0.939
135	0.83	0.771	0.832	0.72	42.666	0.937
136	0.83	0.769	0.832	0.709	42.653	0.937
137	0.828	0.77	0.833	0.725	42.675	0.937
138	0.821	0.771	0.834	0.724	42.68	0.938
139	0.819	0.773	0.836	0.711	42.685	0.939
140	0.819	0.77	0.837	0.723	42.668	0.937
141	0.816	0.774	0.839	0.725	42.666	0.937
142	0.816	0.772	0.839	0.717	42.65	0.936
143	0.814	0.771	0.839	0.72	42.659	0.937
144	0.814	0.77	0.84	0.73	42.663	0.937
145	0.803	0.776	0.843	0.727	42.648	0.937
146	0.806	0.773	0.843	0.709	42.653	0.936
147	0.808	0.773	0.844	0.721	42.644	0.936
148	0.797	0.776	0.847	0.719	42.648	0.935
149	0.799	0.774	0.847	0.722	42.644	0.935
150	0.789	0.777	0.849	0.726	42.66	0.935
151	0.793	0.775	0.849	0.724	42.643	0.935
152	0.79	0.775	0.85	0.727	42.674	0.936
153	0.782	0.778	0.852	0.727	42.654	0.935
154	0.781	0.777	0.854	0.727	42.665	0.936
155	0.776	0.779	0.856	0.723	42.653	0.935
156	0.779	0.778	0.856	0.726	42.654	0.935
157	0.772	0.779	0.857	0.728	42.655	0.935
158	0.773	0.778	0.858	0.725	42.669	0.934
159	0.764	0.782	0.86	0.725	42.661	0.935
160	0.765	0.78	0.861	0.72	42.659	0.935
161	0.761	0.781	0.861	0.716	42.654	0.935
162	0.761	0.781	0.862	0.73	42.664	0.936
163	0.757	0.78	0.864	0.721	42.658	0.934
164	0.759	0.782	0.863	0.73	42.659	0.934
165	0.751	0.782	0.867	0.734	42.681	0.934
166	0.753	0.781	0.866	0.728	42.64	0.934
167	0.742	0.786	0.868	0.725	42.669	0.935
168	0.746	0.783	0.867	0.731	42.7	0.934
169	0.742	0.784	0.87	0.732	42.668	0.934
170	0.735	0.786	0.874	0.722	42.668	0.934
171	0.741	0.783	0.871	0.722	42.659	0.935
172	0.736	0.785	0.873	0.727	42.664	0.934
173	0.733	0.786	0.873	0.737	42.695	0.935
174	0.733	0.785	0.873	0.727	42.64	0.934
175	0.73	0.786	0.874	0.73	42.671	0.934
176	0.725	0.786	0.878	0.736	42.684	0.934
177	0.716	0.792	0.881	0.736	42.689	0.934
178	0.724	0.786	0.877	0.723	42.672	0.934
179	0.72	0.788	0.879	0.722	42.689	0.934
180	0.717	0.788	0.88	0.739	42.69	0.934
181	0.713	0.787	0.883	0.724	42.685	0.934
182	0.704	0.791	0.885	0.73	42.665	0.933
183	0.705	0.79	0.885	0.75	42.686	0.933
184	0.702	0.793	0.885	0.729	42.67	0.934
185	0.705	0.791	0.883	0.734	42.671	0.933
186	0.703	0.791	0.884	0.732	42.67	0.933
187	0.706	0.792	0.884	0.733	42.667	0.933
188	0.696	0.794	0.888	0.733	42.683	0.934
189	0.699	0.79	0.886	0.732	42.674	0.934
190	0.695	0.792	0.888	0.743	42.684	0.934
191	0.691	0.794	0.89	0.731	42.665	0.932
192	0.687	0.792	0.892	0.725	42.67	0.933
193	0.686	0.794	0.892	0.732	42.676	0.934
194	0.691	0.791	0.892	0.739	42.674	0.933
195	0.685	0.794	0.891	0.743	42.672	0.933
196	0.68	0.794	0.893	0.743	42.681	0.933
197	0.684	0.795	0.893	0.74	42.687	0.933
198	0.677	0.795	0.896	0.74	42.682	0.933
199	0.68	0.793	0.892	0.737	42.658	0.932
200	0.686	0.794	0.893	0.73	42.672	0.932
