epoch	train.loss	train.mjpeg_acc	train.noise_acc	val.base_acc	val.cropped_acc	val.mjpeg_acc	val.noise_acc	val.psnr	val.ssim
1	1.384	0.509	0.51	0.515	0.511	0.513	0.514	43.028	0.988
2	1.373	0.531	0.529	0.521	0.524	0.521	0.526	42.176	0.986
3	1.37	0.526	0.526	0.517	0.514	0.517	0.518	41.664	0.986
4	1.366	0.523	0.521	0.516	0.512	0.517	0.516	41.406	0.985
5	1.361	0.522	0.522	0.513	0.509	0.512	0.512	41.015	0.984
6	1.358	0.524	0.522	0.514	0.517	0.517	0.515	40.842	0.984
7	1.356	0.521	0.519	0.516	0.517	0.517	0.517	40.9	0.984
8	1.351	0.525	0.525	0.521	0.518	0.519	0.521	40.896	0.986
9	1.35	0.526	0.527	0.524	0.524	0.522	0.523	40.926	0.984
10	1.348	0.53	0.528	0.518	0.518	0.519	0.519	40.882	0.985
11	1.347	0.532	0.532	0.527	0.527	0.53	0.529	40.855	0.984
12	1.346	0.531	0.531	0.533	0.529	0.529	0.532	40.904	0.985
13	1.345	0.536	0.534	0.526	0.527	0.525	0.527	40.837	0.984
14	1.344	0.536	0.534	0.531	0.525	0.53	0.528	40.884	0.985
15	1.344	0.534	0.532	0.527	0.528	0.522	0.527	40.886	0.984
16	1.342	0.537	0.534	0.535	0.53	0.535	0.534	40.814	0.984
17	1.34	0.541	0.54	0.533	0.531	0.529	0.531	40.849	0.984
18	1.339	0.539	0.538	0.536	0.53	0.53	0.534	40.813	0.984
19	1.337	0.538	0.536	0.53	0.526	0.533	0.53	40.835	0.984
20	1.336	0.534	0.534	0.532	0.53	0.529	0.531	40.809	0.984
21	1.334	0.533	0.534	0.526	0.521	0.529	0.53	40.784	0.983
22	1.328	0.537	0.536	0.53	0.521	0.528	0.528	40.819	0.982
23	1.322	0.536	0.534	0.524	0.517	0.519	0.523	40.825	0.982
24	1.32	0.534	0.534	0.525	0.526	0.523	0.527	40.788	0.982
25	1.317	0.533	0.534	0.523	0.518	0.523	0.526	40.787	0.982
26	1.314	0.537	0.537	0.528	0.521	0.531	0.53	40.79	0.982
27	1.312	0.54	0.539	0.53	0.525	0.529	0.531	40.797	0.982
28	1.312	0.538	0.537	0.529	0.518	0.527	0.528	40.741	0.982
29	1.31	0.54	0.538	0.525	0.516	0.528	0.528	40.767	0.983
30	1.31	0.54	0.54	0.535	0.523	0.532	0.533	40.714	0.982
31	1.308	0.538	0.539	0.528	0.525	0.53	0.535	40.719	0.982
32	1.306	0.546	0.544	0.528	0.524	0.529	0.531	40.714	0.982
33	1.307	0.546	0.543	0.534	0.529	0.537	0.534	40.719	0.982
34	1.305	0.545	0.545	0.534	0.527	0.535	0.538	40.694	0.982
35	1.304	0.546	0.545	0.542	0.531	0.539	0.541	40.694	0.983
36	1.303	0.547	0.546	0.532	0.516	0.529	0.531	40.707	0.983
37	1.304	0.544	0.543	0.534	0.525	0.53	0.531	40.698	0.983
38	1.301	0.544	0.543	0.532	0.523	0.533	0.532	40.68	0.982
39	1.298	0.551	0.549	0.533	0.521	0.53	0.53	40.711	0.982
40	1.296	0.545	0.543	0.54	0.525	0.538	0.539	40.694	0.982
41	1.291	0.55	0.549	0.544	0.53	0.543	0.544	40.684	0.981
42	1.288	0.549	0.548	0.535	0.516	0.534	0.535	40.743	0.982
43	1.284	0.552	0.551	0.54	0.523	0.538	0.542	40.723	0.981
44	1.282	0.555	0.554	0.541	0.52	0.546	0.541	40.7	0.982
45	1.28	0.556	0.554	0.548	0.526	0.548	0.55	40.716	0.981
46	1.279	0.557	0.556	0.549	0.528	0.544	0.548	40.722	0.982
47	1.275	0.566	0.563	0.552	0.529	0.549	0.554	40.734	0.982
48	1.273	0.568	0.567	0.558	0.525	0.555	0.559	40.742	0.982
49	1.272	0.572	0.568	0.556	0.53	0.551	0.555	40.726	0.982
50	1.27	0.57	0.569	0.557	0.537	0.556	0.556	40.742	0.982
51	1.268	0.576	0.575	0.559	0.537	0.555	0.558	40.758	0.982
52	1.269	0.577	0.574	0.558	0.533	0.556	0.559	40.73	0.982
53	1.267	0.578	0.575	0.563	0.542	0.56	0.565	40.721	0.982
54	1.267	0.575	0.573	0.562	0.534	0.559	0.562	40.75	0.982
55	1.265	0.578	0.576	0.56	0.529	0.559	0.561	40.732	0.982
56	1.262	0.582	0.58	0.561	0.534	0.559	0.561	40.749	0.982
57	1.262	0.579	0.577	0.566	0.54	0.56	0.566	40.726	0.982
58	1.261	0.58	0.577	0.567	0.536	0.561	0.567	40.785	0.981
59	1.259	0.579	0.575	0.565	0.542	0.563	0.565	40.742	0.982
60	1.258	0.584	0.581	0.567	0.531	0.567	0.565	40.725	0.981
61	1.26	0.579	0.577	0.562	0.532	0.56	0.56	40.751	0.981
62	1.257	0.583	0.581	0.568	0.534	0.563	0.567	40.747	0.982
63	1.255	0.586	0.583	0.559	0.536	0.555	0.557	40.745	0.981
64	1.255	0.583	0.583	0.564	0.534	0.562	0.565	40.747	0.981
65	1.254	0.584	0.584	0.566	0.539	0.56	0.566	40.736	0.981
66	1.251	0.584	0.582	0.569	0.539	0.567	0.569	40.737	0.981
67	1.251	0.585	0.583	0.57	0.531	0.567	0.571	40.752	0.981
68	1.249	0.581	0.579	0.569	0.529	0.567	0.57	40.715	0.98
69	1.245	0.587	0.584	0.572	0.537	0.569	0.576	40.718	0.98
70	1.244	0.588	0.586	0.566	0.532	0.565	0.562	40.71	0.98
71	1.24	0.588	0.587	0.57	0.529	0.566	0.57	40.71	0.98
72	1.241	0.587	0.585	0.571	0.528	0.569	0.568	40.665	0.98
73	1.237	0.588	0.585	0.569	0.531	0.568	0.568	40.687	0.98
74	1.234	0.592	0.59	0.575	0.539	0.569	0.572	40.674	0.98
75	1.23	0.596	0.593	0.574	0.535	0.573	0.576	40.661	0.979
76	1.228	0.594	0.592	0.578	0.539	0.575	0.577	40.666	0.979
77	1.222	0.598	0.595	0.585	0.532	0.581	0.582	40.677	0.979
78	1.22	0.596	0.595	0.576	0.537	0.572	0.578	40.678	0.979
79	1.21	0.599	0.598	0.586	0.536	0.584	0.587	40.704	0.979
80	1.207	0.6	0.599	0.586	0.538	0.579	0.583	40.719	0.978
81	1.199	0.604	0.603	0.584	0.533	0.579	0.583	40.742	0.978
82	1.198	0.601	0.601	0.588	0.543	0.586	0.589	40.729	0.978
83	1.194	0.602	0.6	0.581	0.537	0.579	0.581	40.728	0.978
84	1.192	0.6	0.599	0.583	0.532	0.578	0.584	40.724	0.978
85	1.188	0.601	0.598	0.582	0.53	0.58	0.584	40.761	0.977
86	1.185	0.601	0.599	0.586	0.532	0.581	0.586	40.722	0.978
87	1.181	0.6	0.599	0.585	0.525	0.578	0.583	40.748	0.977
88	1.181	0.6	0.597	0.582	0.533	0.576	0.582	40.722	0.977
89	1.177	0.6	0.6	0.586	0.527	0.581	0.586	40.742	0.977
90	1.171	0.605	0.605	0.586	0.522	0.58	0.585	40.734	0.977
91	1.165	0.609	0.61	0.59	0.531	0.587	0.591	40.733	0.976
92	1.157	0.613	0.613	0.589	0.536	0.587	0.589	40.772	0.976
93	1.155	0.614	0.615	0.603	0.526	0.598	0.605	40.757	0.976
94	1.148	0.614	0.616	0.596	0.525	0.592	0.595	40.739	0.976
95	1.145	0.616	0.617	0.594	0.524	0.59	0.595	40.73	0.976
96	1.142	0.614	0.614	0.606	0.524	0.602	0.608	40.759	0.975
97	1.135	0.62	0.619	0.602	0.528	0.597	0.598	40.736	0.976
98	1.129	0.621	0.62	0.605	0.529	0.602	0.602	40.754	0.975
99	1.122	0.621	0.622	0.599	0.527	0.588	0.597	40.758	0.975
100	1.121	0.619	0.62	0.602	0.525	0.597	0.602	40.786	0.975
101	1.116	0.62	0.621	0.598	0.53	0.593	0.601	40.742	0.976
102	1.113	0.622	0.623	0.603	0.527	0.603	0.606	40.76	0.975
103	1.108	0.625	0.626	0.605	0.523	0.601	0.608	40.753	0.975
104	1.108	0.625	0.624	0.607	0.528	0.601	0.609	40.744	0.975
105	1.106	0.626	0.625	0.608	0.535	0.604	0.609	40.73	0.975
106	1.101	0.63	0.63	0.613	0.529	0.608	0.614	40.748	0.975
107	1.098	0.635	0.635	0.606	0.534	0.603	0.608	40.791	0.975
108	1.095	0.636	0.634	0.614	0.527	0.606	0.611	40.797	0.975
109	1.09	0.638	0.639	0.614	0.53	0.613	0.616	40.808	0.974
110	1.083	0.645	0.645	0.621	0.523	0.62	0.626	40.832	0.974
111	1.079	0.646	0.646	0.622	0.53	0.616	0.621	40.831	0.974
112	1.072	0.647	0.648	0.619	0.524	0.614	0.62	40.833	0.973
113	1.066	0.654	0.655	0.629	0.531	0.623	0.63	40.839	0.972
114	1.062	0.655	0.655	0.633	0.542	0.626	0.633	40.829	0.971
115	1.054	0.659	0.659	0.631	0.518	0.623	0.632	40.804	0.971
116	1.047	0.661	0.662	0.628	0.529	0.625	0.632	40.85	0.971
117	1.042	0.66	0.663	0.636	0.526	0.626	0.638	40.848	0.97
118	1.031	0.666	0.668	0.644	0.533	0.636	0.642	40.818	0.97
119	1.02	0.67	0.672	0.645	0.535	0.632	0.641	40.839	0.97
120	1.004	0.675	0.676	0.641	0.524	0.638	0.641	40.849	0.97
121	0.995	0.675	0.676	0.643	0.533	0.637	0.645	40.889	0.97
122	0.986	0.674	0.675	0.648	0.534	0.639	0.648	40.878	0.971
123	0.979	0.679	0.68	0.652	0.525	0.645	0.647	40.843	0.969
124	0.971	0.68	0.682	0.652	0.531	0.644	0.652	40.906	0.97
125	0.967	0.676	0.679	0.66	0.536	0.647	0.658	40.899	0.97
126	0.961	0.683	0.684	0.651	0.529	0.641	0.647	40.861	0.97
127	0.953	0.686	0.688	0.66	0.532	0.649	0.656	40.9	0.969
128	0.946	0.689	0.69	0.656	0.545	0.651	0.659	40.893	0.969
